year,births,data
1929,599078,observed
1930,604870,observed
1931,589751,observed
1932,573099,observed
1933,540989,observed
1934,557686,observed
1935,559569,observed
1936,567383,observed
1937,573382,observed
1938,583579,observed
1939,581950,observed
1940,567710,observed
1941,539205,observed
1942,608373,observed
1943,641064,observed
1944,704748,observed
1945,638422,observed
1946,773153,observed
1947,829863,observed
1948,728131,observed
1949,686181,observed
1950,654321,observed
1951,636259,observed
1952,632347,observed
1953,642844,observed
1954,633395,observed
1955,628935,observed
1956,659420,observed
1957,681736,observed
1958,698255,observed
1959,706239,observed
1960,740858,observed
1961,766358,observed
1962,793354,observed
1963,807017,observed
1964,828470,observed
1965,816433,observed
1966,804957,observed
1967,788458,observed
1968,775065,observed
1969,754456,observed
1970,741999,observed
1971,740099,observed
1972,685485,observed
1973,638356,observed
1974,603153,observed
1975,568900,observed
1976,550383,observed
1977,536953,observed
1978,562589,observed
1979,601316,observed
1980,618371,observed
1981,598163,observed
1982,589711,observed
1983,593255,observed
1984,600573,observed
1985,619301,observed
1986,623609,observed
1987,643330,observed
1988,654363,observed
1989,649357,observed
1990,666920,observed
1991,660806,observed
1992,651784,observed
1993,636473,observed
1994,628956,observed
1995,613257,observed
1996,614184,observed
1997,608202,observed
1998,602111,observed
1999,589468,observed
2e3,572826,observed
2001,563744,observed
2002,565709,observed
2003,589851,observed
2004,607184,observed
2005,613028,observed
2006,635748,observed
2007,655357,observed
2008,672809,observed
2009,671058,observed
2010,687007,observed
2011,688120,observed
2012,694241,observed
2013,664517,observed
2014,661496,observed
2015,664399,observed
2016,677270,projected
2017,683016,projected
2018,687092,projected
2019,690075,projected
2020,692261,projected
2021,694190,projected
2022,695174,projected
2023,694736,projected
2024,693259,projected
2025,691038,projected
2026,689096,projected
2027,687805,projected
2028,686810,projected
2029,686221,projected
2030,686142,projected
2031,686618,projected
2032,687755,projected
2033,689645,projected
2034,692365,projected
2035,695831,projected
2036,699959,projected
2037,704658,projected
2038,709656,projected
2039,714817,projected
2040,719962,projected
2041,724945,projected
2042,729635,projected
2043,733840,projected
2044,737477,projected
2045,740546,projected
2046,743069,projected
2047,745096,projected
2048,746720,projected
2049,748029,projected
2050,749081,projected
2051,749946,projected
2052,750703,projected
2053,751419,projected
2054,752113,projected
2055,752805,projected
2056,753521,projected
2057,754264,projected
2058,755028,projected
2059,755874,projected
2060,756867,projected
2061,758037,projected
2062,759420,projected
2063,761036,projected
2064,762897,projected
2065,765026,projected
2066,767391,projected
2067,769989,projected
2068,772771,projected
2069,775707,projected
2070,778742,projected
2071,781828,projected
2072,784915,projected
2073,787952,projected
2074,790898,projected
2075,793707,projected
2076,796356,projected
2077,798821,projected
2078,801088,projected
2079,803160,projected
2080,805035,projected
2081,806731,projected
2082,808269,projected
2083,809674,projected
2084,810975,projected
2085,812205,projected
2086,813394,projected
2087,814565,projected
2088,815757,projected
2089,816990,projected
2090,818285,projected
2091,819658,projected
2092,821131,projected
2093,822701,projected
2094,824380,projected
2095,826169,projected
2096,828070,projected
2097,830068,projected
2098,832163,projected
2099,834342,projected
2100,836574,projected
2101,838855,projected
