year,age_group,CoB,population,proportion_age_by_year
2e3,0-4,UK born,2923785,0.06614068887561654
2e3,0-4,Non-UK born,57610,0.013803784982986672
2e3,5-9,UK born,3082464,0.0697302614228777
2e3,5-9,Non-UK born,94837,0.0227236513874589
2e3,10-14,UK born,3064601,0.06932617181800417
2e3,10-14,Non-UK born,125798,0.030142137533236548
2e3,15-19,UK born,2796536,0.06326211315314266
2e3,15-19,Non-UK born,160590,0.0384785598058988
2e3,20-24,UK born,2546285,0.05760103563485321
2e3,20-24,Non-UK born,307123,0.07358895773875744
2e3,25-29,UK born,2977062,0.06734589975166462
2e3,25-29,Non-UK born,415710,0.09960721151323364
2e3,30-34,UK born,3391616,0.07672377368430411
2e3,30-34,Non-UK born,454707,0.10895118309770736
2e3,35-39,UK born,3396743,0.07683975461719257
2e3,35-39,Non-UK born,431315,0.10334628571319036
2e3,40-44,UK born,2966965,0.06711748947677194
2e3,40-44,Non-UK born,402413,0.09642115129940317
2e3,45-49,UK born,2738553,0.061950445036959394
2e3,45-49,Non-UK born,361472,0.08661138283926677
2e3,50-69,UK born,9598965,0.21714392733834142
2e3,50-69,Non-UK born,978613,0.23448296187390275
2e3,70-89,UK born,4721967,0.10681843919027166
2e3,70-89,Non-UK born,383305,0.09184273221495759
2001,0-4,UK born,2871082,0.0648941200509193
2001,0-4,Non-UK born,54705,0.012645619375294152
2001,5-9,UK born,3014592,0.06813782927570194
2001,5-9,Non-UK born,107768,0.024911673683149622
2001,10-14,UK born,3109170,0.07027554463394524
2001,10-14,Non-UK born,127027,0.029363588198254093
2001,15-19,UK born,2809937,0.06351207977115249
2001,15-19,Non-UK born,179272,0.04144055345302501
2001,20-24,UK born,2609085,0.0589722882220197
2001,20-24,Non-UK born,305031,0.07051103050297688
2001,25-29,UK born,2839355,0.06417700512809385
2001,25-29,Non-UK born,447826,0.10351955291765796
2001,30-34,UK born,3341852,0.07553477918095156
2001,30-34,Non-UK born,479206,0.11077336035750314
2001,35-39,UK born,3426948,0.07745817601874756
2001,35-39,Non-UK born,461167,0.10660346130054434
2001,40-44,UK born,3046705,0.06886366882929017
2001,40-44,Non-UK born,412047,0.0952488717070072
2001,45-49,UK born,2748225,0.06211722377728594
2001,45-49,Non-UK born,363192,0.0839555395695427
2001,50-69,UK born,9700103,0.21924823066296345
2001,50-69,Non-UK born,981750,0.22694153773320597
2001,70-89,UK born,4725506,0.10680905444892881
2001,70-89,Non-UK born,407013,0.09408521120183892
2002,0-4,UK born,2825155,0.06382543902658827
2002,0-4,Non-UK born,56422,0.012441326407422017
2002,5-9,UK born,2981567,0.06735907331179623
2002,5-9,Non-UK born,114455,0.02523788617846739
2002,10-14,UK born,3103318,0.07010965196214503
2002,10-14,Non-UK born,144968,0.031966151618715306
2002,15-19,UK born,2868339,0.06480104488146142
2002,15-19,Non-UK born,182615,0.04026749888148899
2002,20-24,UK born,2655778,0.05999890158492349
2002,20-24,Non-UK born,326163,0.07192053356889135
2002,25-29,UK born,2657487,0.060037511033005614
2002,25-29,Non-UK born,520324,0.11473398180878831
2002,30-34,UK born,3281791,0.07414168474597185
2002,30-34,Non-UK born,489275,0.10788752575221382
2002,35-39,UK born,3468953,0.07837001799462345
2002,35-39,Non-UK born,466052,0.10276674089595984
2002,40-44,UK born,3123284,0.07056072056390489
2002,40-44,Non-UK born,438314,0.09665037650105941
2002,45-49,UK born,2756257,0.06226890669542276
2002,45-49,Non-UK born,384043,0.08468335609311216
2002,50-69,UK born,9793166,0.22124560224492365
2002,50-69,Non-UK born,987749,0.2178034759066444
2002,70-89,UK born,4748682,0.10728144595523333
2002,70-89,Non-UK born,424667,0.093641146387237
2003,0-4,UK born,2801600,0.06329320681981593
2003,0-4,Non-UK born,63731,0.01339902177953373
2003,5-9,UK born,2942524,0.06647693464601372
2003,5-9,Non-UK born,137845,0.028981000724919225
2003,10-14,UK born,3085810,0.06971402432062257
2003,10-14,Non-UK born,166223,0.03494728777611265
2003,15-19,UK born,2915261,0.06586101420857489
2003,15-19,Non-UK born,191818,0.040328467460209336
2003,20-24,UK born,2701295,0.06102713560691557
2003,20-24,Non-UK born,351025,0.07380068757999761
2003,25-29,UK born,2530351,0.057165201731056554
2003,25-29,Non-UK born,579923,0.12192498011097487
2003,30-34,UK born,3158974,0.0713669312965524
2003,30-34,Non-UK born,548636,0.11534709502496851
2003,35-39,UK born,3458140,0.0781256318646053
2003,35-39,Non-UK born,482771,0.10149941384141593
2003,40-44,UK born,3201852,0.07233562280212781
2003,40-44,Non-UK born,449312,0.09446488010239694
2003,45-49,UK born,2797471,0.06319992524822861
2003,45-49,Non-UK born,401143,0.0843376660292087
2003,50-69,UK born,9910712,0.22390089389906892
2003,50-69,Non-UK born,969383,0.20380637256138687
2003,70-89,UK born,4759844,0.10753347755641773
2003,70-89,Non-UK born,414582,0.08716312700887563
2004,0-4,UK born,2813301,0.06319344606949057
2004,0-4,Non-UK born,58855,0.012287377019233279
2004,5-9,UK born,2931681,0.06585254303270435
2004,5-9,Non-UK born,126165,0.026339935802082517
2004,10-14,UK born,3102143,0.06968152585533781
2004,10-14,Non-UK born,146929,0.03067491322842454
2004,15-19,UK born,2951783,0.06630408186658274
2004,15-19,Non-UK born,187953,0.039239646128552415
2004,20-24,UK born,2769466,0.06220880748710777
2004,20-24,Non-UK born,364007,0.07599509381768835
2004,25-29,UK born,2552166,0.05732773154432728
2004,25-29,Non-UK born,559485,0.11680576215454475
2004,30-34,UK born,3038401,0.0682497286038665
2004,30-34,Non-UK born,575514,0.12015219603851875
2004,35-39,UK born,3446293,0.07741195514989789
2004,35-39,Non-UK born,478097,0.0998140870064459
2004,40-44,UK born,3277374,0.07361763178506338
2004,40-44,Non-UK born,460766,0.0961958297450351
2004,45-49,UK born,2861687,0.06428031095935426
2004,45-49,Non-UK born,401105,0.0837401811111981
2004,50-69,UK born,9933946,0.22314010509655086
2004,50-69,Non-UK born,1050513,0.2193195020746888
2004,70-89,UK born,4840632,0.10873213254971661
2004,70-89,Non-UK born,380486,0.07943547587358751
2005,0-4,UK born,2842158,0.06377076720270025
2005,0-4,Non-UK born,59588,0.011597994077214208
2005,5-9,UK born,2877559,0.06456507523544959
2005,5-9,Non-UK born,153611,0.029898292746777064
2005,10-14,UK born,3039089,0.06818939591932859
2005,10-14,Non-UK born,171262,0.03333381992434483
2005,15-19,UK born,2980971,0.06688537642136734
2005,15-19,Non-UK born,201842,0.03928580117696634
2005,20-24,UK born,2793387,0.0626764705143237
2005,20-24,Non-UK born,426564,0.08302488329114589
2005,25-29,UK born,2606685,0.058487354434824064
2005,25-29,Non-UK born,593871,0.11558891623530373
2005,30-34,UK born,2937743,0.06591545049724971
2005,30-34,Non-UK born,606188,0.11798625283074321
2005,35-39,UK born,3377041,0.07577217573582258
2005,35-39,Non-UK born,513475,0.09994092785120436
2005,40-44,UK born,3356681,0.0753153493312923
2005,40-44,Non-UK born,477117,0.09286433745281283
2005,45-49,UK born,2916403,0.06543663539544832
2005,45-49,Non-UK born,428599,0.0834209683745038
2005,50-69,UK born,10000299,0.22438117074645256
2005,50-69,Non-UK born,1086936,0.21155731506865313
2005,70-89,UK born,4840336,0.108604778565741
2005,70-89,Non-UK born,418732,0.0815004909703306
2006,0-4,UK born,2872698,0.06457801261797741
2006,0-4,Non-UK born,83020,0.014948896992160203
2006,5-9,UK born,2819045,0.06337189763095395
2006,5-9,Non-UK born,169275,0.030480300389640065
2006,10-14,UK born,3011013,0.06768732233840592
