year,age_group,ukborn,pulmextrapulm,type,policy_change,incidence
2e3,0-4,Non-UK Born,Extra-pulmonary only,fitted,Universal,13
2e3,0-4,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2e3,0-4,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2e3,0-4,Non-UK Born,Extra-pulmonary only,observed,Targeted,0
2e3,0-4,Non-UK Born,"Pulmonary, with or without EP",fitted,Universal,15
2e3,0-4,Non-UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2e3,0-4,Non-UK Born,"Pulmonary, with or without EP",observed,Universal,0
2e3,0-4,Non-UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2e3,0-4,UK Born,Extra-pulmonary only,fitted,Universal,31
2e3,0-4,UK Born,Extra-pulmonary only,fitted,Targeted,0
2e3,0-4,UK Born,Extra-pulmonary only,observed,Universal,0
2e3,0-4,UK Born,Extra-pulmonary only,observed,Targeted,0
2e3,0-4,UK Born,"Pulmonary, with or without EP",fitted,Universal,44
2e3,0-4,UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2e3,0-4,UK Born,"Pulmonary, with or without EP",observed,Universal,0
2e3,0-4,UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2e3,0-4,NA,Extra-pulmonary only,fitted,Universal,6
2e3,0-4,NA,Extra-pulmonary only,fitted,Targeted,0
2e3,0-4,NA,Extra-pulmonary only,observed,Universal,0
2e3,0-4,NA,Extra-pulmonary only,observed,Targeted,0
2e3,0-4,NA,"Pulmonary, with or without EP",fitted,Universal,10
2e3,0-4,NA,"Pulmonary, with or without EP",fitted,Targeted,0
2e3,0-4,NA,"Pulmonary, with or without EP",observed,Universal,0
2e3,0-4,NA,"Pulmonary, with or without EP",observed,Targeted,0
2e3,5-9,Non-UK Born,Extra-pulmonary only,fitted,Universal,5
2e3,5-9,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2e3,5-9,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2e3,5-9,Non-UK Born,Extra-pulmonary only,observed,Targeted,0
2e3,5-9,Non-UK Born,"Pulmonary, with or without EP",fitted,Universal,6
2e3,5-9,Non-UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2e3,5-9,Non-UK Born,"Pulmonary, with or without EP",observed,Universal,0
2e3,5-9,Non-UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2e3,5-9,UK Born,Extra-pulmonary only,fitted,Universal,35
2e3,5-9,UK Born,Extra-pulmonary only,fitted,Targeted,0
2e3,5-9,UK Born,Extra-pulmonary only,observed,Universal,0
2e3,5-9,UK Born,Extra-pulmonary only,observed,Targeted,0
2e3,5-9,UK Born,"Pulmonary, with or without EP",fitted,Universal,24
2e3,5-9,UK Born,"Pulmonary, with or without EP",fitted,Targeted,0
2e3,5-9,UK Born,"Pulmonary, with or without EP",observed,Universal,0
2e3,5-9,UK Born,"Pulmonary, with or without EP",observed,Targeted,0
2e3,5-9,NA,Extra-pulmonary only,fitted,Universal,4
2e3,5-9,NA,Extra-pulmonary only,fitted,Targeted,0
2e3,5-9,NA,Extra-pulmonary only,observed,Universal,0
2e3,5-9,NA,Extra-pulmonary only,observed,Targeted,0
2e3,5-9,NA,"Pulmonary, with or without EP",fitted,Universal,5
2e3,5-9,NA,"Pulmonary, with or without EP",fitted,Targeted,0
2e3,5-9,NA,"Pulmonary, with or without EP",observed,Universal,0
2e3,5-9,NA,"Pulmonary, with or without EP",observed,Targeted,0
2e3,10-14,Non-UK Born,Extra-pulmonary only,fitted,Universal,23
2e3,10-14,Non-UK Born,Extra-pulmonary only,fitted,Targeted,0
2e3,10-14,Non-UK Born,Extra-pulmonary only,observed,Universal,0
2e3,10-14,Non-UK Born,Extra-pulmonary only,observed,Targeted,0
2e3,10-14,Non-UK Born,"Pulmonary, with or without EP",fitted,Universal,32
